Model,Prompt,Accuracy,Precision,Recall,F1-Score
llama-3.2-1b@q8,reason,0.38075,0.3548610259719005,0.3327974442968959,0.2950239015077269
llama-3.2-8b@q4,reason,0.432625,0.3927754931773741,0.39186173135309127,0.34632471998496417
llama-3.2-1b@q8,txt,0.3245,0.31976998916882254,0.33951527507399826,0.2888226347573705
llama-3.2-3b@q8,txt,0.406,0.37731786369233394,0.368063455886306,0.31824422496410326
llama-3.2-8b@q4,txt,0.4345,0.3761342203730084,0.402541479550339,0.345016552716552
emollama-3.1-8b@q4,txt,0.346625,0.3250033241391154,0.2685359290790838,0.21780576680873165
emollama-chat-7b@q4,txt,0.397,0.3564956006797319,0.36920081118909703,0.3382449194104618
emollama-chat-13b@q3,txt,0.37725,0.3469507583346613,0.3502481190042885,0.283725409015555
bert-7b@q6,txt,0.46275,0.41259621607861346,0.41211543831460223,0.38891128086484744
bloomz-7b@q6,txt,0.148375,0.3310032756642561,0.22056515531893273,0.1517969735966548
vicuna-13b@q3,txt,0.33225,0.32585937933889686,0.27713752517207463,0.2738546584328696
TFIDF,txt,0.422625,0.3582211937427093,0.29600766188027267,0.30318880230267004
word2vec,txt,0.439125,0.37734049010120513,0.30254908460634417,0.30871946026601954
word2vec-nn,txt,0.463125,0.39142018629686454,0.32525475283227406,0.3301547920718685
llama-3.2-1b@q8,num,0.225125,0.1840456851979918,0.18756078883791535,0.12220076795645825
llama-3.2-3b@q4,num,0.376375,0.32265595639604144,0.30028661004667173,0.2882795843072455
llama-3.2-3b@q8,num,0.411125,0.3742374060673297,0.328466509191034,0.3161928554499447
llama-3.2-8b@q4,num,0.43,0.38241543429982555,0.33871991115629396,0.3138390425832585
