Model,Prompt,Accuracy,Precision,Recall,F1-Score
llama-3.2-1b@q8,reason,0.38435,0.3467834124899299,0.3263237523444541,0.2884615949841658
llama-3.2-8b@q4,reason,0.432375,0.3891447401452022,0.3906680087452818,0.3434482913849812
llama-3.2-1b@q8,txt,0.312575,0.30852524945115906,0.32571090174880496,0.2767734383819347
llama-3.2-3b@q8,txt,0.406125,0.3787038685450299,0.3651664619902632,0.3180849721711012
llama-3.2-8b@q4,txt,0.435525,0.37664135413418015,0.3969673068995246,0.3406841296911551
emollama-3.1-8b@q4,txt,0.348075,0.32975822525052695,0.2662562362452454,0.21815499829815407
emollama-chat-7b@q4,txt,0.392825,0.35075393227997537,0.3641464191044028,0.33174850901550096
emollama-chat-13b@q3,txt,0.376075,0.34980159421152784,0.35191703366357224,0.2858612217111704
bert-7b@q6,txt,0.46635,0.4104977630628373,0.4092061152869297,0.3861436590577798
bloomz-7b@q6,txt,0.149,0.34167243144137416,0.21948864435820123,0.154361895352407
vicuna-13b@q3,txt,0.33145,0.3252537980441402,0.27628639811496547,0.27222523304577234
TFIDF,txt,0.422625,0.3582211937427093,0.29600766188027267,0.30318880230267004
word2vec,txt,0.439125,0.37734049010120513,0.30254908460634417,0.30871946026601954
word2vec-nn,txt,0.463125,0.39142018629686454,0.32525475283227406,0.3301547920718685
llama-3.2-1b@q8,num,0.2257,0.18040602753810062,0.18792718393686467,0.12440533495708028
llama-3.2-3b@q4,num,0.3765,0.32209504068982237,0.2993164857048816,0.2886403679344715
llama-3.2-3b@q8,num,0.4121,0.37090729627821606,0.3240888009915361,0.3139170237628814
llama-3.2-8b@q4,num,0.42975,0.37559566108127523,0.33427166025607846,0.31060694901672453
