"@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[","9"
"Layin n bed with a headache  ughhhh...waitin on your call...","10"
"Funeral ceremony...gloomy friday...","7"
"wants to hang out with friends SOON!","7"
"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.","10"
"Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends","9"
"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!","11"
"Hmmm. http://www.djhero.com/ is down","4"
"@charviray Charlene my love. I miss you","6"
"@kelcouch I'm sorry  at least it's Friday?","1"
"cant fall asleep","1"
"Choked on her retainers","10"
"Ugh! I have to beat this stupid song to get to the next  rude!","12"
"@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol","10"
"Got the news","3"
"The storm is here and the electricity is gone","12"
"@annarosekerr agreed","3"
"So sleepy again and it's not even that late. I fail once again.","10"
"@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know","4"
"How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend","10"
"@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too","9"
"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore","12"
"No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps","3"
"I ate Something I don't know what it is... Why do I keep Telling things about food","10"
"so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.","10"
"On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old","12"
"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!","9"
"Damm servers still down  i need to hit 80 before all the koxpers pass me","4"
"Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!","10"
"I HATE CANCER. I HATE IT I HATE IT I HATE IT.","12"
"It is so annoying when she starts typing on her computer in the middle of the night!","12"
"@cynthia_123 i cant sleep","9"
"I missed the bl***y bus!!!!!!!!","5"
"feels strong contractions but wants to go out.  http://plurk.com/p/wxidk","9"
"SoCal!  stoked. or maybe not.. tomorrow","7"
"Screw you @davidbrussee! I only have 3 weeks...","12"
"@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?","4"
"I need skott right now","10"
"has work this afternoon","3"
"@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry","9"
"mmm much better day... so far! it's still quite early. last day of #uds","7"
"@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform","9"
"just picked up her Blackberry from the middle of the street! Both she and it are crushed!","11"
"Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...","11"
