Weight exponent,Max weight,Accuracy,Precision,Recall,F1-Score
1.0,0.28791263340779355,0.372375,0.3421433840164843,0.3236434567266867,0.3172744037562961
2.0,0.3254797476177403,0.372375,0.3421433840164843,0.3236434567266867,0.3172744037562961
3.0,0.36167731220765575,0.3605,0.33813704941488865,0.3255396022649069,0.3133253183256061
4.0,0.3957299095287454,0.3605,0.33813704941488865,0.3255396022649069,0.3133253183256061
4.5,0.41178888899840366,0.365625,0.3431446201887285,0.3290919794088169,0.3186352186705846
5.0,0.4271518317448491,0.365625,0.3431446201887285,0.3290919794088169,0.3186352186705846
5.5,0.44180049194657534,0.36075,0.3406989442325697,0.329444856846405,0.31632990332855443
6.0,0.45573046132877076,0.36075,0.3406989442325697,0.329444856846405,0.31632990332855443
6.5,0.4689490343354434,0.36075,0.3406989442325697,0.329444856846405,0.31632990332855443
7.0,0.4814730386575681,0.357625,0.3469102967677101,0.3366532827999155,0.31898186127609296
7.5,0.49332675009468274,0.357625,0.3469102967677101,0.3366532827999155,0.31898186127609296
8.0,0.5045399749479713,0.34225,0.34720086553882085,0.33810771937946704,0.3136745432789708
